"","logFC","logCPM","F","PValue","FDR","EntrezID","Symbol","Regulated"
"17750",0.924553758109185,4.91480786058421,105.559171262715,3.71426685784968e-07,0.00546790424425927,"17750","Mt2","Up"
"17748",0.853460500395534,5.50527460760465,95.3402868533722,6.32164199579083e-07,0.00546790424425927,"17748","Mt1","Up"
"15368",0.488890778395523,6.87175841055694,63.578349457199,4.95344398650392e-06,0.0285632091741771,"15368","Hmox1","Normal"
"14825",0.620929922125916,4.18989306003116,46.5892342712457,2.22760373550092e-05,0.0873838887366844,"14825","Cxcl1","Up"
"19288",0.990226376151763,2.59191643220809,45.3615182570892,2.5256919109973e-05,0.0873838887366844,"19288","Ptx3","Up"
"14957",-0.58475360122021,3.45671159185384,31.4753234570087,0.000131619109714278,0.379479829824549,"14957","H1f3","Normal"
"242341",2.10322333302827,-0.831330982974278,28.4385988587316,0.000203795841044853,0.503637750604988,"242341","Atp6v0d2","Up"
"18039",-0.986199532935617,1.78736233942544,22.3034916449581,0.000548573864068158,0.925505308131592,"18039","Nefl","Down"
"66054",0.324606327650981,5.38891775234001,21.3608483420861,0.000649546924224169,0.925505308131592,"66054","Cndp2","Normal"
"56419",-0.734103267668924,1.51351555563054,21.094355497942,0.000682130832021436,0.925505308131592,"56419","Diaph3","Down"
"18858",0.533292133673551,3.14547744480823,20.963836899004,0.000698591763083962,0.925505308131592,"18858","Pmp22","Normal"
"75135",0.572831100232619,3.0868618068928,20.7997968158365,0.000720110659665654,0.925505308131592,"75135","4930526I15Rik","Normal"
"546336",-0.844317644600859,1.4929540885078,20.7235335642364,0.000730519967321622,0.925505308131592,"546336","Prrg1","Down"
"56338",-0.410974486857666,5.73759095286009,20.4679179955891,0.000766052585110694,0.925505308131592,"56338","Txnip","Normal"
"12424",0.687635181412732,2.50567980266009,19.9234865406461,0.00084919492435105,0.925505308131592,"12424","Cck","Up"
"14630",0.449042760643878,4.49016930247884,19.8814048679836,0.00085600814671978,0.925505308131592,"14630","Gclm","Normal"
"12023",1.06511358096203,1.10389799288212,19.1158618685912,0.000993199023327775,0.95750429281993,"12023","Barx2","Up"
"16956",-0.48085498353248,3.79818989717259,19.0216052151398,0.0010113864109815,0.95750429281993,"16956","Lpl","Normal"
"665402",1.63150687471723,-0.831270761378707,18.5791553172165,0.0011203024434549,0.95750429281993,"665402",NA,"Up"
"18811",0.336902451452352,5.38557510601123,17.8754230721618,0.00127323701818877,0.95750429281993,"18811","Prl2c2","Normal"
"100628626",1.60259453069988,7.09004476997757,17.7018111422327,0.0013195216519218,0.95750429281993,"100628626",NA,"Up"
"625328",0.912141277817484,0.829161999159533,17.4267832611366,0.00139763580788254,0.95750429281993,"625328","H3f3c","Up"
"19124",0.56368410978074,3.36932215368071,17.3450538270157,0.0014210304872825,0.95750429281993,"19124","Procr","Normal"
"17725",-0.342632770026711,12.6789624922255,17.0945825642207,0.00149774838091524,0.95750429281993,"17725","mt-Rnr2","Normal"
"70281",1.86128107751906,-1.10379946726195,16.8503468071499,0.00156707145323551,0.95750429281993,"70281","2310068J16Rik","Up"
"241113",-0.24088719640025,7.81192492438837,16.712509274995,0.00162443548593682,0.95750429281993,"241113","Prkag3","Normal"
"15331",0.294648791717621,6.12216093205653,16.4435740890377,0.00172120134532535,0.95750429281993,"15331","Hmgn2","Normal"
"272009",-1.68095660020633,-0.903338518627168,16.2602343201283,0.00180740107522424,0.95750429281993,"272009","Srsf12","Down"
"72832",-1.64046126091238,-0.928017280886664,15.9698607096068,0.00192599681269401,0.95750429281993,"72832","Crtac1","Down"
"11602",0.605473711785848,1.75510601276545,15.6115773821594,0.00206675782110843,0.95750429281993,"11602","Angpt4","Up"
"11898",0.354106377093766,6.72477403277824,15.5393568295598,0.00210021432586384,0.95750429281993,"11898","Ass1","Normal"
"75745",-0.275453521051191,6.69881550483507,15.4968164825611,0.0021203431332109,0.95750429281993,"75745","Rian","Normal"
"54204",-0.667788662561781,1.95373266109909,15.0240537153151,0.00236024317447219,0.95750429281993,"54204","Septin1","Down"
"100503212",-1.64119691846578,-0.927572223753992,14.9948191771906,0.00239604261617247,0.95750429281993,"100503212","LOC100503212","Down"
"232087",-0.241233563180467,8.14563370006685,14.8825743941257,0.00243790596100109,0.95750429281993,"232087","Mat2a","Normal"
"83672",-2.59439359289688,-1.6623708648703,13.609751620566,0.00253659979009111,0.95750429281993,"83672","Sytl3","Down"
"77891",0.792566846725073,2.86759615848144,14.5390366175666,0.0026399525069857,0.95750429281993,"77891","Ube2s","Up"
"69487",-0.376907475734327,3.4616074904401,14.5176498978156,0.00265313463009212,0.95750429281993,"69487","Ndufaf5","Normal"
"30954",0.357890557993395,3.45360872334478,14.4856171863603,0.00267307500580868,0.95750429281993,"30954","Siva1","Normal"
"76650",0.367848196900684,5.78634701663816,14.4648258372985,0.00268606335664384,0.95750429281993,"76650","Srxn1","Normal"
"18412",0.229088472773906,9.00959352100537,14.4515077867277,0.00269445117719448,0.95750429281993,"18412","Sqstm1","Normal"
"12609",0.578846906790188,3.1447828560743,14.4175269673267,0.00271605106892965,0.95750429281993,"12609","Cebpd","Normal"
"18591",0.332190319069657,4.53979011120352,14.2452982404833,0.00282836260100365,0.95750429281993,"18591","Pdgfb","Normal"
"94242",0.682912043769052,3.16830073437324,14.1882945701945,0.00286680742899069,0.95750429281993,"94242","Tinagl1","Up"
"21887",0.224217569524384,6.42082085047746,14.1403196809131,0.00289953520358823,0.95750429281993,"21887","Tle3","Normal"
"414084",2.16081920861755,-1.97447018065666,12.9294795270898,0.00304277156715204,0.95750429281993,"414084","Tnip3","Up"
"69434",-1.55037637577422,-0.706032134272091,13.9653954058862,0.00305769756264929,0.95750429281993,"69434","Snhg10","Down"
"75202",-0.667529012244463,2.81460218372058,13.693890587128,0.00322689401572823,0.95750429281993,"75202","Spaca6","Down"
"12517",-1.55626397398509,-0.789303010690056,13.696030074732,0.00326084578501379,0.95750429281993,"12517","Cd72","Down"
"68792",-0.271322847973481,5.58445174077603,13.5830304824244,0.00331471000782364,0.95750429281993,"68792","Srpx2","Normal"
"20297",3.23468068368436,-2.18870153559124,12.5187230573195,0.00332847659612421,0.95750429281993,"20297","Ccl20","Up"
"16330",-0.284945124728622,4.6436424765536,13.4300238353089,0.00344071467888951,0.95750429281993,"16330","Inpp5b","Normal"
"56473",0.242276773719503,5.56269839661426,13.4228637354663,0.00344674500084131,0.95750429281993,"56473","Fads2","Normal"
"66596",0.702966509901554,1.90552534086029,13.4037974491173,0.00346312065208156,0.95750429281993,"66596","Gtf3a","Up"
"12977",0.268545271475421,8.34924663549372,13.3437759814452,0.00351422308806556,0.95750429281993,"12977","Csf1","Normal"
"231070",0.210264912742975,7.0051412639946,13.2984256366802,0.00355361953013966,0.95750429281993,"231070","Insig1","Normal"
"76192",0.271799809125731,4.7010620521933,13.2847803595071,0.00356557882378618,0.95750429281993,"76192","Abhd12","Normal"
"232440",0.571974540991292,3.72842403795093,13.2757455299501,0.00357355046336064,0.95750429281993,"232440","H2aj","Normal"
"67800",0.299991779256184,4.3611812768759,13.2313109932443,0.00361288880182119,0.95750429281993,"67800","Dgat2","Normal"
"27389",-0.268180716966303,5.78764395397719,13.2002386521081,0.00364071488714479,0.95750429281993,"27389","Dusp13b","Normal"
"18812",0.28005052099638,5.00520599466711,13.1943105330704,0.00364605509680951,0.95750429281993,"18812","Prl2c3","Normal"
"17392",0.37053491307683,3.85506897698144,13.1683439754262,0.00366957033966551,0.95750429281993,"17392","Mmp3","Normal"
"74511",-0.352218748123354,4.20712518340258,13.1605641531942,0.0036766270878016,0.95750429281993,"74511","Lrrc17","Normal"
"19018",1.31296013068938,2.62355168411431,13.1310180222565,0.00370378839959062,0.95750429281993,"19018","Scand1","Up"
"381651",-1.65611685303221,-1.02558738850373,13.0328875895606,0.00380791328406922,0.95750429281993,"381651","Odaph","Down"
"338362",0.495869203627136,1.99657832255114,12.8746491466552,0.00394831138605347,0.95750429281993,"338362","Ust","Normal"
"20677",0.305467258967377,5.16588826646399,12.8035509699095,0.00401922604102133,0.95750429281993,"20677","Sox4","Normal"
"654470",-0.58437036377969,2.12615388438609,12.5109812458968,0.00432853965919747,0.95750429281993,"654470","Tctn1","Normal"
"22436",0.395868148464595,4.40836539749417,12.3707553136344,0.00448637523018625,0.95750429281993,"22436","Xdh","Normal"
